id,campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,upload_timestamp
1,548299,"New User Discount",2024-11-05,Premium,App,3130,163,78,1431.85,4777.75,3.6,"2024-11-20 15:56:34"
2,390914,"Weekend Special",2024-11-05,Inactive,App,3925,494,45,4506.34,6238.11,2.98,"2024-11-20 15:56:34"
3,834385,"Festival Offer",2024-11-05,Inactive,Email,7012,370,78,4524.23,2621,2.95,"2024-11-20 15:56:34"
4,241523,"Flash Sale",2024-11-05,Inactive,SMS,1115,579,86,3622.79,2955,2.84,"2024-11-20 15:56:34"
5,595111,"Membership Drive",2024-11-05,"New Users",Email,7172,795,54,2888.99,8951.81,2.22,"2024-11-20 15:56:34"
6,176344,"Category Promotion",2024-11-05,Inactive,App,4333,421,40,2714.78,6697.88,3.89,"2024-11-20 15:56:34"
7,875646,"App Push Notification",2024-11-05,Premium,Email,4752,937,21,3584.76,9152.99,2.14,"2024-11-20 15:56:34"
8,5516,"Email Campaign",2024-11-05,Premium,"Social Media",1559,418,68,1457.88,2156.09,3.92,"2024-11-20 15:56:34"
9,989534,"Referral Program",2024-11-05,"New Users",SMS,3838,911,45,4808.64,8074.17,1.7,"2024-11-20 15:56:34"
10,243346,"New User Discount",2024-11-04,Inactive,SMS,6289,834,14,3746.35,4474.02,2.56,"2024-11-20 15:56:34"
11,775791,"Weekend Special",2024-11-04,Inactive,App,1068,496,87,1043.7,9535.85,3.15,"2024-11-20 15:56:34"
12,178345,"Festival Offer",2024-11-04,Inactive,"Social Media",4229,914,84,1370.63,3521.16,1.65,"2024-11-20 15:56:34"
13,60966,"Flash Sale",2024-11-04,Inactive,App,2712,161,89,4870.23,2626.78,2.03,"2024-11-20 15:56:34"
14,209071,"Membership Drive",2024-11-04,"New Users","Social Media",9365,753,53,3817.01,7072.56,1.55,"2024-11-20 15:56:34"
15,712164,"Category Promotion",2024-11-04,All,App,4813,321,88,2512.51,6494.09,2.55,"2024-11-20 15:56:34"
16,301304,"App Push Notification",2024-11-04,Inactive,"Social Media",8840,466,24,1776.92,5356.59,3.17,"2024-11-20 15:56:34"
17,755362,"Email Campaign",2024-11-04,Inactive,App,7409,949,99,1599.21,7907.75,1.93,"2024-11-20 15:56:34"
18,362255,"Referral Program",2024-11-04,Premium,SMS,1997,599,92,3328.47,2278.39,3.09,"2024-11-20 15:56:34"
19,538453,"New User Discount",2024-11-03,"New Users","Social Media",9594,692,58,3712.46,2591.79,3.01,"2024-11-20 15:56:34"
20,146888,"Weekend Special",2024-11-03,"New Users",Email,8974,799,64,4907.38,9623.97,2.36,"2024-11-20 15:56:34"
21,36202,"Festival Offer",2024-11-03,"New Users",Email,7102,858,53,1454.23,8523.27,2.87,"2024-11-20 15:56:34"
22,232494,"Flash Sale",2024-11-03,All,"Social Media",9487,109,54,1364.19,5855.87,1.61,"2024-11-20 15:56:34"
23,757108,"Membership Drive",2024-11-03,Inactive,Email,5922,258,41,1815.23,9798.33,2.73,"2024-11-20 15:56:34"
24,294530,"Category Promotion",2024-11-03,All,App,4630,860,76,4337.91,3326.76,1.86,"2024-11-20 15:56:34"
25,627085,"App Push Notification",2024-11-03,All,Email,6291,130,66,4644.01,2649.48,3.23,"2024-11-20 15:56:34"
26,954798,"Email Campaign",2024-11-03,All,Email,6347,737,100,2352.91,5816.29,3,"2024-11-20 15:56:34"
27,675313,"Referral Program",2024-11-03,"New Users",Email,2465,560,60,4857.36,2528.08,1.62,"2024-11-20 15:56:34"
28,588949,"New User Discount",2024-11-02,Premium,App,7171,211,22,3120.88,8989.36,3.51,"2024-11-20 15:56:34"
29,137874,"Weekend Special",2024-11-02,All,App,6082,497,59,1897.04,3654.1,1.95,"2024-11-20 15:56:34"
30,674904,"Festival Offer",2024-11-02,"New Users","Social Media",3297,613,19,3819.45,2007.51,3.75,"2024-11-20 15:56:34"
31,783220,"Flash Sale",2024-11-02,Inactive,App,5550,633,12,1947.14,3460.9,2.75,"2024-11-20 15:56:34"
32,877083,"Membership Drive",2024-11-02,Premium,SMS,3446,155,51,3415.84,8018.45,3.18,"2024-11-20 15:56:34"
33,228966,"Category Promotion",2024-11-02,Premium,SMS,8998,632,55,4905.7,8801.61,3.79,"2024-11-20 15:56:34"
34,531307,"App Push Notification",2024-11-02,All,App,7562,975,73,2298.76,7097.94,1.8,"2024-11-20 15:56:34"
35,51098,"Email Campaign",2024-11-02,"New Users",SMS,1423,802,40,1818.73,4672.26,3.83,"2024-11-20 15:56:34"
36,501568,"Referral Program",2024-11-02,Premium,Email,7215,508,25,2202.62,3845.1,1.84,"2024-11-20 15:56:34"
37,703072,"New User Discount",2024-11-01,All,App,4360,724,38,1905.02,4231.84,3.01,"2024-11-20 15:56:34"
38,978279,"Weekend Special",2024-11-01,All,Email,9713,686,94,2062.29,9160.3,3.06,"2024-11-20 15:56:34"
39,350042,"Festival Offer",2024-11-01,All,Email,5538,362,51,2486.88,9687.96,2.2,"2024-11-20 15:56:34"
40,675128,"Flash Sale",2024-11-01,"New Users",App,8141,828,37,4123.86,3539.73,2.47,"2024-11-20 15:56:34"
41,439725,"Membership Drive",2024-11-01,Inactive,SMS,4249,945,87,1330.62,3115.55,3.59,"2024-11-20 15:56:34"
42,39545,"Category Promotion",2024-11-01,All,SMS,1489,317,95,2527.82,9966.89,3.03,"2024-11-20 15:56:34"
43,473315,"App Push Notification",2024-11-01,"New Users",Email,5817,987,53,4371.4,5119.87,2.07,"2024-11-20 15:56:34"
44,789925,"Email Campaign",2024-11-01,Inactive,Email,9893,751,88,3569,6649.77,2.23,"2024-11-20 15:56:34"
45,249657,"Referral Program",2024-11-01,All,Email,6898,977,15,4874.26,3343.94,2.82,"2024-11-20 15:56:34"
46,795261,"New User Discount",2024-10-31,"New Users",Email,7876,977,73,1813.53,6438.12,3.73,"2024-11-20 15:56:34"
47,601445,"Weekend Special",2024-10-31,Inactive,SMS,5624,386,70,3572.92,5202.67,1.96,"2024-11-20 15:56:34"
48,830587,"Festival Offer",2024-10-31,Inactive,App,1081,662,47,2001.9,3301.92,3.52,"2024-11-20 15:56:34"
49,706750,"Flash Sale",2024-10-31,Premium,App,4511,338,27,1645.66,2073.23,2.57,"2024-11-20 15:56:34"
50,584256,"Membership Drive",2024-10-31,Inactive,SMS,1810,750,44,1279.23,5722.42,2.73,"2024-11-20 15:56:34"
51,886076,"Category Promotion",2024-10-31,Premium,SMS,3930,591,25,4678.74,5102.75,1.78,"2024-11-20 15:56:34"
52,855895,"App Push Notification",2024-10-31,Premium,Email,8796,873,86,2339.85,3999.7,2.98,"2024-11-20 15:56:34"
53,514715,"Email Campaign",2024-10-31,"New Users",App,2341,369,38,2721.86,2480.73,3.48,"2024-11-20 15:56:34"
54,741376,"Referral Program",2024-10-31,Premium,Email,9694,799,32,3162.72,8424.83,2.48,"2024-11-20 15:56:34"
55,347837,"New User Discount",2024-10-30,All,Email,8433,551,97,2510.51,7701.36,3.8,"2024-11-20 15:56:34"
56,358482,"Weekend Special",2024-10-30,"New Users",App,4788,628,76,2603.2,2979.58,3.95,"2024-11-20 15:56:34"
57,510301,"Festival Offer",2024-10-30,All,App,5744,207,47,1966.98,3566.39,2.67,"2024-11-20 15:56:34"
58,258760,"Flash Sale",2024-10-30,"New Users",App,4130,779,89,1741.85,5487.39,1.56,"2024-11-20 15:56:34"
59,678723,"Membership Drive",2024-10-30,Inactive,SMS,7316,950,54,1650.8,5407.95,2.13,"2024-11-20 15:56:34"
60,490727,"Category Promotion",2024-10-30,Premium,SMS,7583,501,30,4937.7,8031.55,1.93,"2024-11-20 15:56:34"
61,378426,"App Push Notification",2024-10-30,Premium,App,2155,719,70,2233.21,6322.5,3.82,"2024-11-20 15:56:34"
62,158279,"Email Campaign",2024-10-30,"New Users",Email,3245,443,30,1970.09,8773.38,3.74,"2024-11-20 15:56:34"
63,57394,"Referral Program",2024-10-30,All,App,3328,377,75,3212.25,3778.57,1.74,"2024-11-20 15:56:34"
64,633088,"New User Discount",2024-10-29,Premium,Email,3832,930,26,2133.42,3655.75,2.51,"2024-11-20 15:56:34"
65,827451,"Weekend Special",2024-10-29,All,SMS,6494,422,30,2744.72,4665.13,3.49,"2024-11-20 15:56:34"
66,221166,"Festival Offer",2024-10-29,"New Users",Email,2851,712,99,1415.72,7808.19,3.09,"2024-11-20 15:56:34"
67,581436,"Flash Sale",2024-10-29,Premium,App,2489,543,54,1101.24,8701.2,3.65,"2024-11-20 15:56:34"
68,399972,"Membership Drive",2024-10-29,All,Email,5187,741,58,1185.35,2169.17,3.73,"2024-11-20 15:56:34"
69,467912,"Category Promotion",2024-10-29,All,SMS,3949,486,87,4568.63,9613.16,1.87,"2024-11-20 15:56:34"
70,928724,"App Push Notification",2024-10-29,"New Users",Email,8668,660,36,3904.68,2757.27,3.05,"2024-11-20 15:56:34"
